transaction_id,customer_id,timestamp,transaction_amount,avg_transaction_amount_30d,amount_deviation,txn_velocity,velocity_change,location_change_km,merchant_category_risk,hour_of_day
T0001_001,C0001,2025-11-01 08:00:00,1868.3,1626,1.15,0,0.0,0.0,0.1,19
T1792_001,C1792,2025-11-01 08:00:00,1639.1,926,1.77,0,0.0,0.0,0.15,12
T0044_001,C0044,2025-11-01 08:00:00,2372.65,2557,0.93,0,0.0,0.0,0.4,22
T1244_001,C1244,2025-11-01 08:00:00,2523.01,2170,1.16,0,0.0,0.0,0.15,8
T1001_001,C1001,2025-11-01 08:00:00,2014.75,1684,1.2,0,0.0,0.0,0.1,16
T1638_001,C1638,2025-11-01 08:00:00,889.58,915,0.97,0,0.0,0.0,0.15,21
T1794_001,C1794,2025-11-01 08:00:00,1257.92,939,1.34,0,0.0,0.0,0.4,10
T0650_001,C0650,2025-11-01 08:00:00,2087.83,2458,0.85,0,0.0,0.0,0.2,18
T0049_001,C0049,2025-11-01 08:00:00,3368.09,1905,1.77,0,0.0,0.0,0.2,10
T1941_001,C1941,2025-11-01 08:00:00,1612.48,1885,0.86,0,0.0,0.0,0.15,11
T0864_001,C0864,2025-11-01 08:00:00,2998.08,2770,1.08,0,0.0,0.0,0.2,16
T0179_001,C0179,2025-11-01 08:00:00,796.35,950,0.84,0,0.0,0.0,0.2,18
T1223_001,C1223,2025-11-01 08:00:00,2979.94,2642,1.13,0,0.0,0.0,0.15,22
T1636_001,C1636,2025-11-01 08:00:00,942.57,902,1.04,0,0.0,0.0,0.2,14
T0149_001,C0149,2025-11-01 08:00:00,2489.25,2465,1.01,0,0.0,0.0,0.4,17
T1812_001,C1812,2025-11-01 08:00:00,475.99,905,0.53,0,0.0,0.0,0.4,22
T1580_001,C1580,2025-11-01 08:00:00,3475.34,2743,1.27,0,0.0,0.0,0.1,8
T1213_001,C1213,2025-11-01 08:00:00,1524.85,1996,0.76,0,0.0,0.0,0.15,15
T0711_001,C0711,2025-11-01 08:00:00,598.09,788,0.76,0,0.0,0.0,0.3,22
T0060_001,C0060,2025-11-01 08:00:00,2044.4,1806,1.13,0,0.0,0.0,0.3,22
T0848_001,C0848,2025-11-01 08:00:00,1240.49,883,1.4,0,0.0,0.0,0.3,20
T0940_001,C0940,2025-11-01 08:00:00,1446.8,2313,0.63,0,0.0,735.2,0.3,22
T1164_001,C1164,2025-11-01 08:00:00,3244.59,2232,1.45,0,0.0,0.0,0.4,22
T0053_001,C0053,2025-11-01 08:00:00,1257.85,1374,0.92,0,0.0,0.0,0.4,17
T0733_001,C0733,2025-11-01 08:00:00,1765.37,1288,1.37,0,0.0,0.0,0.1,21
T1767_001,C1767,2025-11-01 08:00:00,2562.84,1816,1.41,0,0.0,0.0,0.2,20
T0877_001,C0877,2025-11-01 08:00:00,1645.61,1108,1.49,0,0.0,0.0,0.1,20
T1660_001,C1660,2025-11-01 08:00:00,1419.45,1988,0.71,0,0.0,0.0,0.1,21
T1483_001,C1483,2025-11-01 08:00:00,2034.1,1516,1.34,0,0.0,0.0,0.2,18
T0261_001,C0261,2025-11-01 08:00:00,1384.86,1761,0.79,0,0.0,0.0,0.1,12
T1677_001,C1677,2025-11-01 08:00:00,1109.45,1010,1.1,0,0.0,0.0,0.15,17
T0971_001,C0971,2025-11-01 08:00:00,1571.63,1269,1.24,0,0.0,0.0,0.1,8
T1515_001,C1515,2025-11-01 08:00:00,2444.35,1899,1.29,0,0.0,0.0,0.4,11
T1427_001,C1427,2025-11-01 08:00:00,684.4,591,1.16,0,0.0,0.0,0.1,12
T0489_001,C0489,2025-11-01 08:00:00,1023.12,1462,0.7,0,0.0,0.0,0.3,9
T1535_001,C1535,2025-11-01 08:00:00,1892.72,1861,1.02,0,0.0,0.0,0.15,22
T1407_001,C1407,2025-11-01 08:00:00,2874.11,3000,0.96,0,0.0,0.0,0.3,17
T1299_001,C1299,2025-11-01 08:00:00,2341.72,2424,0.97,0,0.0,0.0,0.1,17
T1405_001,C1405,2025-11-01 08:00:00,1064.84,1013,1.05,0,0.0,735.2,0.1,17
T0238_001,C0238,2025-11-01 08:00:00,481.66,534,0.9,0,0.0,0.0,0.1,10
T0545_001,C0545,2025-11-01 08:00:00,2278.12,2569,0.89,0,0.0,0.0,0.2,17
T0563_001,C0563,2025-11-01 08:00:00,1895.19,2901,0.65,0,0.0,0.0,0.1,9
T0958_001,C0958,2025-11-01 08:00:00,1190.72,1133,1.05,0,0.0,0.0,0.2,19
T0033_001,C0033,2025-11-01 08:00:00,1148.09,1978,0.58,0,0.0,0.0,0.3,15
T0391_001,C0391,2025-11-01 08:00:00,934.08,1048,0.89,0,0.0,735.2,0.15,13
T0292_001,C0292,2025-11-01 08:00:00,538.38,757,0.71,0,0.0,120.2,0.3,11
T0221_001,C0221,2025-11-01 08:00:00,1106.37,1127,0.98,0,0.0,0.0,0.1,10
T0583_001,C0583,2025-11-01 08:00:00,989.13,980,1.01,0,0.0,0.0,0.1,16
T1739_001,C1739,2025-11-01 08:00:00,1278.33,1449,0.88,0,0.0,0.0,0.4,17
T0508_001,C0508,2025-11-01 08:00:00,2378.04,1586,1.5,0,0.0,0.0,0.1,21
T1592_001,C1592,2025-11-01 08:00:00,1458.08,2573,0.57,0,0.0,0.0,0.4,15
T0482_001,C0482,2025-11-01 08:00:00,1996.53,2272,0.88,0,0.0,735.2,0.4,15
T1623_001,C1623,2025-11-01 08:00:00,1393.45,1125,1.24,0,0.0,0.0,0.2,8
T1033_001,C1033,2025-11-01 08:00:00,2052.71,1972,1.04,0,0.0,0.0,0.4,21
T1051_001,C1051,2025-11-01 08:00:00,2621.59,1879,1.4,0,0.0,0.0,0.3,17
T0105_001,C0105,2025-11-01 08:00:00,2431.15,2865,0.85,0,0.0,0.0,0.15,11
T0768_001,C0768,2025-11-01 08:00:00,1980.56,2261,0.88,0,0.0,0.0,0.2,18
T1103_001,C1103,2025-11-01 08:00:00,2089.94,1715,1.22,0,0.0,0.0,0.15,10
T1875_001,C1875,2025-11-01 08:00:00,2044.97,1869,1.09,0,0.0,0.0,0.15,16
T1900_001,C1900,2025-11-01 08:00:00,1703.74,1630,1.05,0,0.0,0.0,0.15,20
T1896_001,C1896,2025-11-01 08:00:00,1756.01,1741,1.01,0,0.0,0.0,0.3,14
T0269_001,C0269,2025-11-01 08:00:00,940.25,1547,0.61,0,0.0,0.0,0.4,14
T0071_001,C0071,2025-11-01 08:00:00,1344.25,1066,1.26,0,0.0,0.0,0.1,22
T0113_001,C0113,2025-11-01 08:00:00,3558.62,2538,1.4,0,0.0,0.0,0.1,8
T0826_001,C0826,2025-11-01 08:00:00,2678.71,2817,0.95,0,0.0,0.0,0.3,9
T0757_001,C0757,2025-11-01 08:00:00,1489.55,1197,1.24,0,0.0,0.0,0.4,11
T1905_001,C1905,2025-11-01 08:00:00,1898.55,1632,1.16,0,0.0,0.0,0.3,17
T0733_002,C0733,2025-11-01 08:42:00,1324.72,1288,1.03,1,0.83,735.2,0.15,21
T0864_002,C0864,2025-11-01 08:43:00,2789.43,2770,1.01,1,0.83,0.0,0.2,20
T1051_002,C1051,2025-11-01 08:43:00,2433.85,1879,1.3,1,0.83,0.0,0.4,16
T0940_002,C0940,2025-11-01 08:45:00,2378.35,2313,1.03,1,0.83,0.0,0.4,18
T0711_002,C0711,2025-11-01 08:47:00,778.98,788,0.99,1,0.83,0.0,0.4,16
T0545_002,C0545,2025-11-01 08:49:00,5002.69,2569,1.95,1,0.83,0.0,0.2,22
T0113_002,C0113,2025-11-01 08:49:00,1110.24,2538,0.44,1,0.83,0.0,0.4,19
T0179_002,C0179,2025-11-01 08:52:00,793.74,950,0.84,1,0.83,0.0,0.1,9
T0221_002,C0221,2025-11-01 09:12:00,1296.13,1127,1.15,0,0.0,0.0,0.4,9
T1001_002,C1001,2025-11-01 09:12:00,1969.54,1684,1.17,0,0.0,0.0,0.4,18
T1767_002,C1767,2025-11-01 09:12:00,1800.12,1816,0.99,0,0.0,0.0,0.4,15
T1033_002,C1033,2025-11-01 09:21:00,1305.89,1972,0.66,0,0.0,0.0,0.2,21
T0001_002,C0001,2025-11-01 09:22:00,1558.55,1626,0.96,0,0.0,0.0,0.3,14
T1515_002,C1515,2025-11-01 09:40:00,2702.13,1899,1.42,0,0.0,0.0,0.3,16
T1900_002,C1900,2025-11-01 09:46:00,1492.53,1630,0.92,0,0.0,0.0,0.15,10
T1677_002,C1677,2025-11-01 09:51:00,797.89,1010,0.79,0,0.0,0.0,0.2,20
T1636_002,C1636,2025-11-01 09:59:00,586.86,902,0.65,0,0.0,0.0,0.3,19
T0044_002,C0044,2025-11-01 10:01:00,2269.47,2557,0.89,0,0.0,735.2,0.2,10
T0001_003,C0001,2025-11-01 10:08:00,1941.94,1626,1.19,1,0.83,0.0,0.2,11
T0221_003,C0221,2025-11-01 10:10:00,946.59,1127,0.84,1,0.83,0.0,0.4,8
T1164_002,C1164,2025-11-01 10:11:00,2207.26,2232,0.99,0,0.0,0.0,0.15,14
T1051_003,C1051,2025-11-01 10:12:00,1095.22,1879,0.58,0,0.0,0.0,0.2,9
T0958_002,C0958,2025-11-01 10:15:00,306.66,1133,0.27,0,0.0,0.0,0.3,10
T0053_002,C0053,2025-11-01 10:25:00,819.82,1374,0.6,0,0.0,0.0,0.3,8
T0238_002,C0238,2025-11-01 10:42:00,366.98,534,0.69,0,0.0,0.0,0.1,20
T0958_003,C0958,2025-11-01 10:52:00,1502.79,1133,1.33,1,0.83,0.0,0.1,16
T0292_002,C0292,2025-11-01 10:54:00,914.33,757,1.21,0,0.0,0.0,0.15,20
T0053_003,C0053,2025-11-01 10:59:00,995.33,1374,0.72,1,0.83,0.0,0.15,21
T1051_004,C1051,2025-11-01 11:11:00,1994.79,1879,1.06,1,0.83,0.0,0.3,17
T0848_002,C0848,2025-11-01 11:14:00,1073.79,883,1.22,0,0.0,0.0,0.4,14
T0105_002,C0105,2025-11-01 11:14:00,3587.51,2865,1.25,0,0.0,0.0,0.1,12
T1900_003,C1900,2025-11-01 11:21:00,2144.21,1630,1.32,0,0.0,0.0,0.2,20
T1483_002,C1483,2025-11-01 11:29:00,1312.6,1516,0.87,0,0.0,0.0,0.1,8
T0757_002,C0757,2025-11-01 11:30:00,1085.25,1197,0.91,0,0.0,0.0,0.1,13
T0563_002,C0563,2025-11-01 11:33:00,2724.67,2901,0.94,0,0.0,0.0,0.2,8
T0179_003,C0179,2025-11-01 11:39:00,1187.5,950,1.25,0,0.0,735.2,0.1,8
T0545_003,C0545,2025-11-01 11:44:00,3267.86,2569,1.27,0,0.0,0.0,0.4,21
T1223_002,C1223,2025-11-01 11:50:00,3586.56,2642,1.36,0,0.0,0.0,0.15,21
T1592_002,C1592,2025-11-01 11:58:00,3272.51,2573,1.27,0,0.0,0.0,0.1,19
T0711_003,C0711,2025-11-01 12:00:00,738.23,788,0.94,0,0.0,0.0,0.15,22
T1001_003,C1001,2025-11-01 12:03:00,2128.23,1684,1.26,0,0.0,0.0,0.1,11
T1244_002,C1244,2025-11-01 12:05:00,2147.24,2170,0.99,0,0.0,0.0,0.4,17
T0113_003,C0113,2025-11-01 12:07:00,2625.58,2538,1.03,0,0.0,0.0,0.4,16
T0489_002,C0489,2025-11-01 12:13:00,1086.96,1462,0.74,0,0.0,0.0,0.4,13
T0071_002,C0071,2025-11-01 12:14:00,1224.52,1066,1.15,0,0.0,0.0,0.3,19
T1660_002,C1660,2025-11-01 12:15:00,2081.91,1988,1.05,0,0.0,120.2,0.1,14
